Employee ID,Store ID,Name
1,1,Jesus Jacobs
2,1,Gabriel Cunningham
3,1,Timothy Fernandez
4,1,Natalie Rogers
5,1,Elizabeth Cantrell
6,1,Melissa Tran
7,2,Andrew Hernandez
8,2,Shannon Alvarez
9,2,Frank Daniel
10,2,James Burnett
11,2,Jessica Maldonado
12,2,Earl Wilson DVM
13,2,Joshua Jackson
14,2,Kevin Mcclain
15,2,Thomas Gardner
16,3,Paula Gutierrez
17,3,Beth Murphy
18,3,Debra Garcia
19,3,Collin Owen
20,3,Ruth Dillon
21,3,Brandon Matthews
22,3,Jenny Hunt
23,4,Sherry Baker
24,4,Gloria Martin
25,4,Aaron Wilson
26,4,Gary Winters
27,4,Heidi Farmer
28,4,Hannah Torres
29,4,Jason Simmons
30,5,Donald Reed
31,5,Stephanie Williams
32,5,Suzanne Higgins
33,5,Sandra Wright
34,5,Robert Jackson
35,6,杜洁
36,6,李岩
37,6,姬辉
38,6,杨霞
39,6,许梅
40,6,孙淑珍
41,6,徐宇
42,6,张楠
43,6,祝浩
44,6,张岩
45,7,赵浩
46,7,戴雪
47,7,雷芳
48,7,田燕
49,7,李云
50,7,王浩
51,7,陈成
52,7,刘梅
53,7,周明
54,8,孟伟
55,8,陈桂芳
56,8,杨桂英
57,8,李霞
58,8,黄东
59,9,魏想
60,9,李小红
61,9,李坤
62,9,杨欣
63,9,任芳
64,9,田军
65,9,崔利
66,9,叶坤
67,10,张燕
68,10,吴玉华
69,10,岳秀云
70,10,计冬梅
71,10,寇凤英
72,10,赵磊
73,10,赵桂香
74,10,孙琳
75,10,孙宁
76,10,黄梅
77,11,Xenia Gehringer
78,11,Gunhild Ackermann
79,11,Geza Heuser-Trupp
80,11,Adina Beyer-Döhn
81,11,Gisa Röhricht
82,11,Stephen Sontag
83,11,Henny Birnbaum
84,11,Catherine Kitzmann B.Eng.
85,11,Tibor Sorgatz B.Eng.
86,11,Cosimo Wende
87,12,Herlinde Textor
88,12,Astrid Langern
89,12,Bert Dussen van
90,12,Andree Käster-Benthin
91,12,Waldemar Matthäi B.A.
92,12,Brunhild Butte
93,12,Swantje Gorlitz
94,12,Alma Hesse-Schmiedt
95,13,Valentina Koch II
96,13,Aurelia Misicher
97,13,Dr. Tobias Patberg
98,13,Otmar Dippel
99,13,Hans Georg Ring
100,13,Carl Biggen B.A.
101,14,Sinaida Ehlert
102,14,Prof. Jelena Eigenwillig
103,14,Annett Noack-Stey
104,14,Reginald Rosemann-Rogner
105,14,Vinzenz Bohlander
106,14,Heinz-Dieter Hornich
107,14,Dipl.-Ing. Eckhardt Hahn B.Eng.
108,14,Rita Bonbach
109,14,Attila Henck
110,15,Ing. Anette Müller B.Eng.
111,15,Antonia Rörricht
112,15,Ing. Katarina Misicher
113,15,Dipl.-Ing. Carl Berger B.A.
114,15,Karl Hövel
115,16,Aaron Rhodes
116,16,Mary Smith
117,16,Lori Clark
118,16,Deborah Horn DDS
119,16,Carl Smith
120,16,Sarah Mack
121,16,Kristin Johnston
122,16,Bryan Johnson
123,16,Mark Rodriguez
124,16,George Barrett
125,17,Heather Mills
126,17,Kenneth West
127,17,Justin Hill MD
128,17,Rachel Hill
129,17,Douglas Mitchell
130,17,Shelley Thompson
131,17,Jennifer Harrell
132,17,Nicholas Thompson
133,17,Patricia Harmon
134,18,Melissa Barker
135,18,Tyler Mata
136,18,Amber Martin
137,18,Megan Hernandez
138,18,Marc Griffin
139,18,Leah Burns
140,18,Donna Hull
141,19,Latoya Turner
142,19,Valerie Robinson
143,19,Charles Mitchell
144,19,Alicia Nichols
145,19,Teresa Lewis
146,19,Cristian Armstrong
147,19,James Morris
148,20,Julie Bailey
149,20,Matthew Hart DDS
150,20,Andrew Smith DDS
151,20,Cynthia Perkins
152,20,Madison Chambers
153,20,Brian Santiago
154,20,Nicholas Freeman
155,20,Michael Duncan
156,21,Alain de la Gérard
157,21,Richard de la Nguyen
158,21,Émilie Lamy
159,21,Roger-Yves Mahe
160,21,Victoire du Mallet
161,21,Juliette Nguyen
162,21,Michel Laine-Lagarde
163,21,Martin Diallo de Vaillant
164,22,Jacques Delmas
